Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Fats,Fiber,Magnesium,Potassium,Protein,Sodium,Sugar
Rice,Grains,0.01,130.0,28.0,0.0,0.28,0.4,0.012,0.035,2.7,0.001,0.05
Arborio rice,Grains,0.001,130.0,29.0,0.0,0.19,0.0,0.008,0.026,2.4,0.0,0.0
Glutinous rice,Grains,0.002,97.0,21.0,0.0,0.19,1.0,0.005,0.01,2.0,0.005,0.05
Rye,Grains,0.024,338.0,76.0,0.0,1.6,15.0,0.11,0.51,10.0,0.002,0.98
Flour,Grains,0.015,364.0,76.0,0.0,0.98,2.7,0.022,0.107,10.0,0.002,0.27
Pasta,Grains,0.006,131.0,25.0,0.033,1.1,0.0,0.018,0.024,5.2,0.006,0.0
Noodles,Grains,0.012,138.0,25.0,0.029,2.1,1.2,0.021,0.038,4.5,0.005,0.4
Soba,Grains,0.004,99.0,21.0,0.0,0.1,0.0,0.009,0.035,5.1,0.06,0.0
Khorasan wheat,Grains,0.022,337.0,71.0,0.0,2.1,11.0,0.13,0.403,15.0,0.005,7.8
Spaghetti,Grains,0.007,158.0,31.0,0.0,0.93,1.8,0.018,0.044,5.8,0.001,0.56
Semolina,Grains,0.071,374.0,81.0,0.0,1.0,1.8,0.027,0.174,7.5,0.002,0.33
Spätzle,Grains,0.012,138.0,25.0,0.029,2.1,1.2,0.021,0.038,4.5,0.165,0.4
Papadum,Grains,0.143,371.0,60.0,0.004,3.3,19.0,0.271,1.0,26.0,1.745,0.0
Bean,Grains,0.05,105.0,20.0,0.0,0.4,5.5,0.032,0.296,4.8,0.001,7.8
Tofu yogurt,Grains,0.118,94.0,16.0,0.0,1.8,0.2,0.04,0.047,3.5,0.035,1.2
Wheat gluten,Grains,0.142,370.0,14.0,0.0,1.9,0.6,0.025,0.1,75.0,0.029,0.0
Chicken meat,Meat,0.015,239.0,0.0,0.088,14.0,0.0,0.023,0.223,27.0,0.082,0.0
Chicken gizzard,Meat,0.017,154.0,0.0,0.37,2.7,0.0,0.003,0.179,30.0,0.056,0.0
Chicken heart,Meat,0.012,153.0,0.71,0.136,9.3,0.0,0.015,0.176,16.0,0.074,0.0
Chicken liver,Meat,0.008,119.0,0.73,0.345,4.8,0.0,0.019,0.23,17.0,0.071,0.0
Chicken breast,Meat,0.016,187.0,0.51,0.091,4.7,0.0,0.031,0.276,33.0,0.079,0.0
Chicken neck,Meat,0.018,297.0,0.0,0.099,26.0,0.0,0.013,0.137,14.0,0.064,0.0
Chicken thigh,Meat,0.013,218.0,1.2,0.102,10.0,0.0,0.026,0.259,28.0,0.095,0.0
Chicken wing,Meat,0.02,324.0,11.0,0.079,22.0,0.3,0.016,0.138,20.0,0.32,0.0
Duck meat,Meat,0.011,337.0,0.0,0.084,28.0,0.0,0.016,0.204,19.0,0.059,0.0
Domestic goose,Meat,0.014,238.0,0.0,0.096,13.0,0.0,0.025,0.388,29.0,0.076,0.0
Quail meat,Meat,0.013,192.0,0.0,0.076,12.0,0.0,0.023,0.216,20.0,0.053,0.0
Turkey meat,Meat,0.014,189.0,0.06,0.109,7.4,0.0,0.03,0.239,29.0,0.103,0.0
Turkey neck,Meat,0.024,125.0,0.0,0.115,6.0,0.0,0.015,0.133,17.0,0.233,0.0
Turkey breast,Meat,0.013,157.0,0.0,0.065,7.0,0.0,0.024,0.275,22.0,0.059,0.0
Turkey leg,Meat,0.017,144.0,0.0,0.071,6.7,0.0,0.021,0.273,20.0,0.074,0.0
Turkey wing,Meat,0.014,197.0,0.0,0.07,12.0,0.0,0.021,0.24,20.0,0.055,0.0
Foie gras,Meat,0.07,462.0,4.7,0.15,44.0,0.0,0.013,0.138,11.0,0.697,0.0
Ground turkey,Meat,0.028,203.0,0.0,0.093,10.0,0.0,0.03,0.294,27.0,0.078,0.0
Ground chicken,Meat,0.008,189.0,0.0,0.107,11.0,0.0,0.028,0.677,23.0,0.075,0.0
Chicken feet,Meat,0.088,215.0,0.2,0.084,15.0,0.0,0.005,0.031,19.0,0.067,0.0
Fajita,Meat,0.013,135.0,2.2,0.088,5.7,0.0,0.022,0.284,19.0,0.799,0.0
Barbecue chicken,Meat,0.016,226.0,0.12,0.127,15.0,0.0,0.021,0.255,23.0,0.335,0.12
Turkey ham,Meat,0.007,118.0,3.1,0.064,4.0,0.0,0.016,0.253,16.0,0.909,1.2
Ostrich,Meat,0.006,145.0,0.0,0.085,2.6,0.0,0.025,0.362,28.0,0.08,0.0
Blood sausage,Meat,0.006,379.0,1.3,0.12,35.0,0.0,0.008,0.038,15.0,0.68,1.3
Bockwurst,Meat,0.041,301.0,3.0,0.093,26.0,1.0,0.026,0.27,14.0,0.756,1.3
Bologna sausage,Meat,0.011,247.0,0.73,0.059,20.0,0.0,0.014,0.281,15.0,0.907,0.0
Braunschweiger,Meat,0.009,327.0,3.1,0.18,29.0,0.0,0.011,0.199,15.0,0.977,0.0
Chorizo,Meat,0.008,455.0,1.9,0.088,38.0,0.0,0.018,0.398,24.0,1.235,0.0
Headcheese,Meat,0.016,157.0,0.0,0.069,11.0,0.0,0.009,0.031,14.0,0.941,0.0
Knackwurst,Meat,0.011,307.0,3.2,0.06,28.0,0.0,0.011,0.199,11.0,0.93,0.0
Leberkäse,Meat,0.008,304.0,2.1,0.174,26.0,0.0,0.012,0.226,15.0,1.225,0.0
Roast beef,Meat,0.005,115.0,0.64,0.051,3.7,0.0,0.02,0.647,19.0,0.853,0.29
Luncheon meat,Meat,0.005,189.0,1.0,0.078,13.0,0.0,0.018,0.3,18.0,0.82,0.0
Mortadella,Meat,0.018,311.0,3.1,0.056,25.0,0.0,0.011,0.163,16.0,1.246,0.0
Chicken liver pate,Meat,0.01,201.0,6.6,0.391,13.0,0.0,0.013,0.095,13.0,0.386,0.0
Pâté,Meat,0.07,319.0,1.5,0.255,28.0,0.0,0.013,0.138,14.0,0.697,0.0
Pepperoni,Meat,0.019,504.0,1.2,0.097,46.0,0.0,0.018,0.274,19.0,1.582,0.0
Salami,Meat,0.015,336.0,2.4,0.089,26.0,0.0,0.019,0.316,22.0,1.74,0.96
Cervelat,Meat,0.009,362.0,3.3,0.074,30.0,0.0,0.014,0.26,17.0,1.3,0.85
Vienna sausage,Meat,0.01,230.0,2.6,0.087,19.0,0.0,0.007,0.101,11.0,0.879,0.0
Italian sausage,Meat,0.021,344.0,4.3,0.057,27.0,0.1,0.018,0.304,19.0,0.743,1.9
Turkey bacon,Meat,0.08,226.0,1.9,0.086,17.0,0.0,0.016,0.349,16.0,1.069,0.0
Liverwurst,Meat,0.022,305.0,5.9,0.118,25.0,2.5,0.012,0.17,12.0,0.7,1.7
Polish sausage,Meat,0.012,259.0,3.6,0.066,19.0,0.0,0.014,0.237,18.0,1.54,0.0
Summer sausage,Meat,0.081,426.0,1.8,0.089,38.0,0.2,0.013,0.206,19.0,1.483,0.12
Turkey sausage,Meat,0.032,235.0,1.6,0.16,18.0,0.0,0.016,0.229,15.0,0.639,0.0
Bratwurst,Meat,0.007,297.0,2.0,0.078,26.0,0.0,0.015,0.283,12.0,0.848,0.0
Kielbasa,Meat,0.0,226.0,3.9,0.07,18.0,0.0,0.0,0.0,13.0,1.2,0.0
Scrapple,Meat,0.007,213.0,14.0,0.049,14.0,0.3,0.013,0.158,8.1,0.482,0.2
Meatball,Meat,0.08,286.0,8.1,0.066,22.0,2.3,0.031,0.296,14.0,0.666,3.5
Pork belly,Meat,0.005,518.0,0.0,0.072,53.0,0.0,0.004,0.185,9.3,0.032,0.0
Pork leg,Meat,0.005,245.0,0.0,0.073,19.0,0.0,0.02,0.315,17.0,0.047,0.0
Pork loin,Meat,0.018,198.0,0.0,0.063,13.0,0.0,0.021,0.356,20.0,0.05,0.0
Pork,Meat,0.019,242.0,0.0,0.08,14.0,0.0,0.028,0.423,27.0,0.062,0.0
Pork chop,Meat,0.056,231.0,0.0,0.078,14.0,0.0,0.02,0.315,24.0,0.074,0.0
Pork shoulder,Meat,0.015,236.0,0.0,0.071,18.0,0.0,0.018,0.302,17.0,0.065,0.0
Pork spare ribs,Meat,0.015,277.0,0.0,0.08,23.0,0.0,0.016,0.242,15.0,0.081,0.0
Pork jowl,Meat,0.004,655.0,0.0,0.09,70.0,0.0,0.003,0.148,6.4,0.025,0.0
Liver,Meat,0.01,165.0,3.8,0.355,4.4,0.0,0.014,0.15,26.0,0.049,0.0
Ham,Meat,0.008,145.0,1.5,0.053,5.5,0.0,0.014,0.287,21.0,1.203,0.0
Pork bacon,Meat,0.01,548.0,1.4,0.107,43.0,0.0,0.03,0.539,36.0,2.193,0.0
Pork hock,Meat,0.019,171.0,0.0,0.089,11.0,0.0,0.006,0.047,19.0,1.05,0.0
Canadian bacon,Meat,0.007,146.0,1.8,0.067,2.8,0.0,0.027,0.999,28.0,0.993,1.2
